ad_id,decision,corrected_value,reason
AD-5001,escalate,,"The claim ""spf 50 protection"" is unsupported because the product does not have the ""spf50"" attribute."
AD-5002,escalate,,"The headline contains the prohibited claim ""prevents covid-19""."
AD-5003,auto_fix,39.0,The advertised price 35.90 does not match the catalogue price 39.00.
AD-5004,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5005,escalate,,"The claim ""hypoallergenic formula"" is unsupported because the product does not have the ""hypoallergenic"" attribute."
AD-5006,escalate,,The product is discontinued and requires human review.
AD-5007,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5008,escalate,,"The headline contains the prohibited claim ""reverses ageing""."
AD-5009,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5010,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5011,escalate,,"The claim ""spf 50 protection"" is unsupported because the product does not have the ""spf50"" attribute."
AD-5012,escalate,,"The claim ""spf 50 protection"" is unsupported because the product does not have the ""spf50"" attribute."
AD-5013,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5014,escalate,,"The headline contains the prohibited claim ""cures eczema""."
AD-5015,escalate,,"The claim ""clinically proven"" is unsupported because the product does not have the ""clinically_tested"" attribute."
AD-5016,auto_fix,139.0,The advertised price 149.00 does not match the catalogue price 139.00.
AD-5017,auto_fix,24.0,The advertised price 34.00 does not match the catalogue price 24.00.
AD-5018,escalate,,The product is discontinued and requires human review.
AD-5019,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5020,auto_fix,39.0,The advertised price 59.00 does not match the catalogue price 39.00.
AD-5021,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5022,auto_fix,39.0,The advertised price 35.90 does not match the catalogue price 39.00.
AD-5023,auto_fix,24.0,The advertised price 29.00 does not match the catalogue price 24.00.
AD-5024,escalate,,The product is discontinued and requires human review.
AD-5025,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5026,escalate,,The product is discontinued and requires human review.
AD-5027,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5028,escalate,,The product is discontinued and requires human review.
AD-5029,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5030,pass,,"The product is active, the price matches, and no prohibited or unsupported claim was found."
AD-5031,escalate,,"The headline contains the prohibited claim ""guaranteed weight loss""."
